OptionSetName,OptionSetUID,OptionSetCode,OptionName,OptionUID,OptionCode
Languages,,,English,,English
Languages,,,Bemba,,Bemba
Languages,,,Nyanja,,Nyanja
Languages,,,Tonga,,Tonga
Languages,,,Lozi,,Lozi
Languages,,,Ngoni,,Ngoni
Languages,,,Kaonde,,Kanonde
Languages,,,Illa,,Illa
Languages,,,Spanish,,Spanish
Languages,,,French,,French
Languages,,,German,,German
Languages,,,Portuguese,,Portuguese
Languages,,,Russian,,Russian
Languages,,,Italian,,Italian
Languages,,,Dutch,,Dutch
Languages,,,Greek,,Greek
Languages,,,Swedish,,Swedish
Languages,,,Polish,,Polish
Languages,,,Turkish,,Turkish
Languages,,,Ukrainian,,Ukrainian
Languages,,,Romanian,,Romanian
Languages,,,Hungarian,,Hungarian
Languages,,,Mandarin Chinese,,Mandarin Chinese
Languages,,,Hindi,,Hindi
Languages,,,Bengali,,Bengali
Languages,,,Japanese,,Japanese
Languages,,,Korean,,Korean
Languages,,,Vietnamese,,Vietnamese
Languages,,,Thai,,Thai
Languages,,,Arabic,,Arabic
Languages,,,Persian/Farsi,,Persian/Farsi
Languages,,,Hebrew,,Hebrew
Languages,,,Swahili,,Swahili
Languages,,,Amharic,,Amharic
Languages,,,Yoruba,,Yoruba
Languages,,,Igbo,,Igbo
Languages,,,Zulu,,Zulu
Languages,,,Afrikaans,,Afrikaans
Languages,,,Hausa,,Hausa
Languages,,,Oromo,,Oromo
Languages,,,Wolof,,Wolof
Languages,,,Somali,,Somali
Languages,,,Mongolian,,Mongolian
Languages,,,Cantonese,,Cantonese
Languages,,,Tamil,,Tamil
Languages,,,Filipino/Tagalog,,Filipino/Tagalog
Languages,,,Malay,,Malay
Languages,,,Indonesian,,Indonesian
Languages,,,Thai,,Thai
Languages,,,Turkish,,Turkish
